year	p
1976	0.9041218637992832
1978	0.9138804457953394
1980	0.9069767441860465
1982	0.9012115563839702
1984	0.913557779799818
1986	0.9023354564755839
1988	0.9069529652351738
1990	0.8980021030494216
1992	0.8670788253477589
1994	0.8496669838249287
1996	0.8325157673440785
1998	0.8570247933884297
2000	0.8536409516943042
2002	0.8565471226021685
2004	0.8467532467532467
2006	0.8550087873462214
2008	0.8603642671292281
2010	0.8668805132317562
2012	0.827295703454086
2014	0.8372513562386981
2016	0.8275555555555556
2018	0.7674199623352166
2020	0.7285191956124314
2022	0.751
