year	p
1976	0.9014567266495287
1978	0.9147058823529411
1980	0.9021164021164021
1982	0.8930150309460654
1984	0.908851884312007
1986	0.8909090909090909
1988	0.9015594541910331
1990	0.8898989898989899
1992	0.8601823708206687
1994	0.8435251798561151
1996	0.8272357723577236
1998	0.8387888707037643
2000	0.8433566433566434
2002	0.8438511326860841
2004	0.8305227655986509
2006	0.8354430379746836
2008	0.8396305625524769
2010	0.8460949464012251
2012	0.8068181818181818
2014	0.8212435233160622
2016	0.8037922506183017
2018	0.7470288624787776
2020	0.6801266825019794
2022	0.70064874884152
